Zone,Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day A.M.,FedEx 2Day,FedEx Express Saver
8,119,1264.97,1228.08,1169.77,1038.87,875.84,746.13
8,120,1275.6,1238.4,1179.6,1047.6,883.2,752.4
8,121,1286.23,1248.72,1189.43,1056.33,890.56,758.67
8,122,1296.86,1259.04,1199.26,1065.06,897.92,764.94
8,123,1307.49,1269.36,1209.09,1073.79,905.28,771.21
8,124,1318.12,1279.68,1218.92,1082.52,912.64,777.48
8,125,1328.75,1290,1228.75,1091.25,920,783.75
8,126,1339.38,1300.32,1238.58,1099.98,927.36,790.02
8,127,1350.01,1310.64,1248.41,1108.71,934.72,796.29
8,128,1360.64,1320.96,1258.24,1117.44,942.08,802.56
8,129,1371.27,1331.28,1268.07,1126.17,949.44,808.83
8,130,1381.9,1341.6,1277.9,1134.9,956.8,815.1
8,131,1392.53,1351.92,1287.73,1143.63,964.16,821.37
8,132,1403.16,1362.24,1297.56,1152.36,971.52,827.64
8,133,1413.79,1372.56,1307.39,1161.09,978.88,833.91
8,134,1424.42,1382.88,1317.22,1169.82,986.24,840.18
8,135,1435.05,1393.2,1327.05,1178.55,993.6,846.45
8,136,1445.68,1403.52,1336.88,1187.28,1000.96,852.72
8,137,1456.31,1413.84,1346.71,1196.01,1008.32,858.99
8,138,1466.94,1424.16,1356.54,1204.74,1015.68,865.26
8,139,1477.57,1434.48,1366.37,1213.47,1023.04,871.53
8,140,1488.2,1444.8,1376.2,1222.2,1030.4,877.8
8,141,1498.83,1455.12,1386.03,1230.93,1037.76,884.07
8,142,1509.46,1465.44,1395.86,1239.66,1045.12,890.34
8,143,1520.09,1475.76,1405.69,1248.39,1052.48,896.61
8,144,1530.72,1486.08,1415.52,1257.12,1059.84,902.88
8,145,1541.35,1496.4,1425.35,1265.85,1067.2,909.15
8,146,1551.98,1506.72,1435.18,1274.58,1074.56,915.42
8,147,1562.61,1517.04,1445.01,1283.31,1081.92,921.69
8,148,1573.24,1527.36,1454.84,1292.04,1089.28,927.96
8,149,1583.87,1537.68,1464.67,1300.77,1096.64,934.23
8,150,1594.5,1548,1474.5,1309.5,1104,940.5
